facebook.com,200,['157.240.8.35'],8,['10.10.254.61'; '10.127.1.5'; '113.197.15.109'; '157.240.38.73'; '138.44.10.37'; '157.240.8.35'; '10.126.192.3'; '157.240.8.35']
fonts.googleapis.com,404,['216.58.199.74'],8,['10.127.1.7'; '138.44.5.105'; '209.85.174.216'; '209.85.248.173'; '216.58.199.74'; '10.10.254.61'; '10.126.192.2'; '216.58.199.74']
twitter.com,200,['104.244.42.1'],8,['10.126.192.3'; '10.127.1.5'; '10.10.254.61'; '138.44.5.105'; '113.197.15.5'; '113.197.15.109'; '45.127.172.82'; '104.244.42.1']
google.com,200,['142.250.66.238'],10,['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '209.85.174.216'; '113.197.15.251'; '108.170.247.49'; '142.250.66.238'; '142.250.224.189'; '142.250.66.238']
youtube.com,200,['142.250.71.78'],11,['10.127.1.5'; '10.10.254.61'; '138.44.5.105'; '137.111.189.12'; '209.85.174.216'; '108.170.247.49'; '142.250.234.211'; '142.250.71.78'; '10.126.192.2'; '113.197.15.251'; '142.250.71.78']
instagram.com,429,['3.212.129.45'; '35.169.78.20'; '34.232.37.224'; '3.224.133.228'; '52.5.90.144'; '3.92.105.183'; '100.24.104.142'; '54.157.88.207'],11,['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '202.158.194.121'; '64.125.193.129'; '64.125.29.0'; '99.83.88.28'; '150.222.76.163'; '52.93.238.160'; '52.93.29.20']
s.w.org,200,['192.0.77.48'],5,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.109'; '192.0.77.48']
googletagmanager.com,400,['172.217.25.168'],8,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '108.170.247.65'; '108.170.235.195'; '172.217.25.168'; '113.197.15.251'; '172.217.25.168']
linkedin.com,200,['13.107.42.14'],6,['10.10.254.61'; '10.127.1.5'; '113.197.15.109'; '13.107.42.14'; '10.126.192.2'; '13.107.42.14']
gmpg.org,200,['66.155.40.24'],11,['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '137.111.189.12'; '138.44.5.105'; '113.197.15.143'; '202.158.194.121'; '206.81.80.38'; '66.155.40.24'; '216.187.88.117'; '66.155.40.24']
ajax.googleapis.com,200,['216.58.199.42'],7,['10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '209.85.174.216'; '216.58.199.42'; '10.126.192.2'; '216.58.199.42']
plus.google.com,200,['172.217.25.174'],11,['10.127.1.5'; '137.111.189.12'; '138.44.5.105'; '113.197.15.251'; '209.85.174.216'; '108.170.247.33'; '108.170.235.193'; '172.217.25.174'; '10.10.254.61'; '10.126.192.2'; '172.217.25.174']
maps.google.com,200,['172.217.167.78'],9,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.251'; '138.44.5.105'; '108.170.247.49'; '209.85.174.216'; '209.85.247.127'; '172.217.167.78']
youtu.be,200,['216.58.203.110'],5,['10.127.1.4'; '10.10.254.61'; '137.111.189.12'; '10.126.192.2'; '216.58.203.110']
