Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
"https://frizonline.com","200","10.18.0.1","['198.252.106.192']","[200]","['10.0.0.138', '203.50.61.65', '203.50.61.64', '58.162.26.77', '203.54.232.142', '203.50.11.177', '4.69.208.62', '113.29.92.22', '103.31.186.6', '5.254.110.70', '37.221.175.217', '37.221.175.90', '198.252.98.250', '198.252.106.192']","14","[]","[]","['198.252.106.192']","['198.252.106.192']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://financereports.co","200","10.18.0.1","['172.67.154.39', '104.21.13.22']","[403, 403]","['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.61.80', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.224.190', '162.158.39.5', '172.67.154.39', '210.57.38.181', '172.67.154.39']","14","[]","[]","['172.67.154.39', '104.21.13.22']","['172.67.154.39', '104.21.13.22']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://tryteens.com","200","10.18.0.1","['136.144.145.155']","[""HTTPSConnectionPool(host='136.144.145.155'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1108)')))""]","['10.0.0.138', '203.50.61.81', '58.162.26.77', '203.50.61.80', '203.50.13.146', '203.50.6.61', '203.50.13.90', '202.84.247.17', '203.50.13.90', '202.84.141.25', '173.205.49.221', '213.200.117.218', '134.222.97.205', '157.97.168.0', '136.144.145.155']","15","[]","[]","['136.144.145.155']","['136.144.145.155']","[]","[]","[""HTTPSConnectionPool(host='136.144.145.155'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1108)')))""]","[""HTTPSConnectionPool(host='136.144.145.155'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1108)')))""]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://ffupdate.org","HTTPSConnectionPool(host='ffupdate.org'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0537F940>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))","10.18.0.1","['Errno11001getaddrinfofailed']","[""HTTPConnectionPool(host='errno11001getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0537FD60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]","['[Errno 11001] getaddrinfo failed']","1","[]","[]","[]","[]","[]","[]","[]","[]","Block N/A","[]","[]","[]","[]","Cloudflare N/A","[]","[]","[]","[]","['False']","['False']"
"https://subtitleseeker.com","200","10.18.0.1","['69.16.230.228']","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","['203.50.61.65', '203.50.61.64', '203.50.13.144', '203.50.13.98', '203.50.6.93', '58.162.26.77', '203.50.13.98', '134.159.63.158', '202.84.247.45', '96.110.41.209', '96.110.46.2', '202.84.247.41', '202.84.247.45', '96.110.39.25', '96.110.37.217', '96.110.39.6', '96.110.37.250', '96.110.39.66', '96.110.39.113', '68.86.82.241', '50.242.150.130', '96.110.37.18', '209.59.157.50']","23","[]","[]","['69.16.230.228']","['69.16.230.228']","[]","[]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://fantasticfilms.ru","403","10.18.0.1","['103.224.182.253']","[200]","['10.0.0.138', '203.50.61.81', '203.50.13.146', '203.50.61.80', '203.50.6.61', '58.162.26.77', '203.50.13.90', '203.50.13.90', '202.84.141.25', '202.84.249.10', '64.125.29.126', '64.125.30.75', '128.177.170.94', '103.224.213.212', '103.224.182.253', '202.84.178.54', '103.224.182.253']","17","[]","[]","['103.224.182.253']","['103.224.182.253']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://gardensrestaurantandcatering.com","200","10.18.0.1","['185.230.63.186', '185.230.63.107', '185.230.63.171']","[404, 404, 404]","['10.0.0.138', '58.162.26.77', '203.50.61.64', '203.50.61.65', '203.50.13.144', '203.50.6.93', '203.50.13.98', '203.50.13.98', '202.84.222.130', '202.84.222.130', '202.84.141.225', '134.159.61.106', '185.230.63.186', '4.59.233.166', '202.84.253.86', '202.84.141.225']","16","[]","[]","['185.230.63.107', '185.230.63.186', '185.230.63.171']","['185.230.63.186', '185.230.63.171', '185.230.63.107']","[]","[]","[404, 404, 404]","[404, 404, 404]","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","False","[]","[]","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
"https://hdvideoforums.com","HTTPSConnectionPool(host='hdvideoforums.com'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x04B1C820>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond'))","10.18.0.1","['3.94.41.167', '52.86.6.113']","[404, 404]","['10.0.0.138', '203.50.61.81', '58.162.26.77', '203.50.13.146', '203.50.61.80', '203.50.6.61', '203.50.13.90', '64.86.160.0', '202.84.247.17', '203.50.13.90', '202.84.141.25', '64.86.160.5']","12","[]","[]","['3.18.7.81', '3.19.116.195']","['3.18.7.81', '3.19.116.195']","[]","[]","[404, 404]","[404, 404]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['False', 'False']","['False', 'False']","['False', 'False']","['False', 'False']"
"https://sportsmanclub.net","200","10.18.0.1","['199.59.243.223']","[200]","['10.0.0.138', '203.50.61.65', '203.50.11.177', '203.50.61.64', '58.162.26.77', '199.59.243.223']","6","[]","[]","['199.59.243.223']","['199.59.243.223']","[]","[]","[200]","[200]","False","[]","[]","['False']","['False']","False","[]","[]","['False']","['False']","['False']","['False']"
"https://stock888.cn","HTTPSConnectionPool(host='stock888.cn'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL] unknown error (_ssl.c:1108)')))","10.18.0.1","['61.9.195.209']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.61.64', '203.50.11.101', '203.50.12.111', '61.9.195.209']","7","[]","[]","[]","[]","[]","[]","[]","[]","Block N/A","[]","[]","[]","[]","Cloudflare N/A","[]","[]","[]","[]","['False']","['False']"
"https://teamclouds.com","HTTPSConnectionPool(host='teamclouds.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL] unknown error (_ssl.c:1108)')))","10.18.0.1","['61.9.195.209']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.0.0.138', '58.162.26.77', '203.50.11.101', '203.50.61.64', '203.50.12.111', '61.9.195.209', '203.50.61.65', '61.9.195.209']","8","[]","[]","['208.91.196.105']","['208.91.196.105']","[]","[]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","Block N/A","[]","[]","['False']","['False']","Cloudflare N/A","[]","[]","['False']","['False']","['False']","['False']"
"https://wadefamilytree.org","HTTPSConnectionPool(host='wadefamilytree.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL] unknown error (_ssl.c:1108)')))","10.18.0.1","['61.9.195.209']","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","['10.0.0.138', '203.50.61.64', '58.162.26.77', '203.50.61.65', '203.50.11.101', '203.50.12.111', '61.9.195.209']","7","[]","[]","['45.79.19.196', '96.126.123.244', '45.33.20.235', '45.56.79.23', '173.255.194.134', '72.14.185.43', '45.33.23.183', '45.33.30.197', '45.33.18.44', '198.58.118.167', '45.33.2.79', '72.14.178.174']","['72.14.178.174', '45.56.79.23', '45.33.30.197', '96.126.123.244', '198.58.118.167', '173.255.194.134', '45.33.18.44', '45.33.2.79', '72.14.185.43', '45.33.20.235', '45.79.19.196', '45.33.23.183']","[]","[]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","Block N/A","[]","[]","['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']","['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']","Cloudflare N/A","[]","[]","['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']","['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']","['False']","['False']"
"https://iranact.co","HTTPSConnectionPool(host='iranact.co'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL] unknown error (_ssl.c:1108)')))","10.18.0.1","['61.9.195.209']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.11.101', '61.9.195.209', '203.50.61.64', '203.50.12.111', '61.9.195.209']","8","[]","[]","['103.224.182.242']","['103.224.182.242']","[]","[]","[200]","[200]","Block N/A","[]","[]","['False']","['False']","Cloudflare N/A","[]","[]","['False']","['False']","['False']","['False']"
