Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
"https://yts.mx/","HTTPSConnectionPool(host='yts.mx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.11.95', '203.50.61.80', '58.162.26.77', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['104.31.16.120', '104.31.16.9']","['104.31.16.120', '104.31.16.9']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://www.1337x.tw/","HTTPSConnectionPool(host='www.1337x.tw'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.66', '203.50.61.67', '203.50.61.80', '139.130.34.250', '203.50.11.95', '61.9.173.4', '101.167.166.53']","9","[]","[]","['172.67.188.157', '104.21.92.70']","['104.21.92.70', '172.67.188.157']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://rarbg.tw/","200","10.18.0.1","['104.21.35.93', '172.67.217.12']","[403, 403]","['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.61.80', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.140.38', '104.21.35.93', '210.57.38.181', '162.158.116.5', '202.84.224.190', '104.21.35.93']","15","[]","[]","['172.67.217.12', '104.21.35.93']","['172.67.217.12', '104.21.35.93']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://thepiratebay.org","HTTPSConnectionPool(host='thepiratebay.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.66', '203.50.61.67', '203.50.11.95', '203.50.61.80', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['162.159.136.6', '162.159.137.6']","['162.159.137.6', '162.159.136.6']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
"https://torrentz2.nz/","200","10.18.0.1","['104.21.79.240', '172.67.172.4']","[403, 403]","['10.0.0.138', '58.162.26.77', '203.50.61.66', '203.50.61.67', '203.50.61.80', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.224.190', '162.158.160.55', '104.21.79.240']","13","[]","[]","['104.21.79.240', '172.67.172.4']","['104.21.79.240', '172.67.172.4']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://limetorrents.so/","200","10.18.0.1","['104.21.60.239', '172.67.202.139']","[403, 403]","['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.61.80', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '104.21.60.239', '172.70.146.5', '210.57.38.181', '202.84.224.190', '104.21.60.239']","14","[]","[]","['172.67.202.139', '104.21.60.239']","['104.21.60.239', '172.67.202.139']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://www.torlock.com/","HTTPSConnectionPool(host='www.torlock.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.11.95', '58.162.26.77', '203.50.61.80', '139.130.34.250', '61.9.173.4', '101.167.166.53']","9","[]","[]","['146.19.213.134']","['146.19.213.134']","[]","[]","[404]","[404]","Block N/A","[]","[]","['False']","['False']","Cloudflare N/A","[]","[]","['False']","['False']","['False', 'False']","['False', 'False']"
"https://nyaa.si/","HTTPSConnectionPool(host='nyaa.si'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.66', '203.50.61.67', '139.130.34.250', '203.50.11.95', '203.50.61.80', '61.9.173.4', '101.167.166.53']","9","[]","[]","['185.178.208.182']","['185.178.208.182']","[]","[]","[503]","[503]","Block N/A","[]","[]","['False']","['False']","Cloudflare N/A","[]","[]","['False']","['False']","['False', 'False']","['False', 'False']"
"https://eztv.pro/","200","10.18.0.1","['172.67.209.114', '104.21.23.60']","[403, 403]","['10.0.0.138', '203.50.61.66', '203.50.61.67', '203.50.61.80', '58.162.26.77', '203.50.13.133', '203.50.13.125', '203.50.6.230', '203.50.6.235', '203.50.9.2', '202.84.224.190', '202.84.249.254', '162.158.116.5', '172.67.209.114', '210.57.38.181', '172.67.209.114']","16","[]","[]","['172.67.209.114', '104.21.23.60']","['104.21.23.60', '172.67.209.114']","[]","[]","[403, 403]","[403, 403]","False","[]","[]","['False', 'False']","['False', 'False']","False","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
"https://yourbittorrent.com/","HTTPSConnectionPool(host='yourbittorrent.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","10.18.0.1","['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.64', '203.50.11.177', '203.50.61.67', '139.130.6.102', '61.9.172.4', '101.167.164.53', '203.50.61.66']","9","[]","[]","['104.31.16.10', '104.31.16.119']","['104.31.16.10', '104.31.16.119']","[]","[]","[403, 403]","[403, 403]","Block N/A","[]","[]","['False', 'False']","['False', 'False']","Cloudflare N/A","[]","[]","['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
