File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,ISP DNS Response Contradiction Public DNS Response between results,Method
Raw_Data_illegal_streaming.csv,https://azm.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='azm.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['503'],"[""HTTPSConnectionPool(host='azm.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['503'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://putlocker-is.org/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://www1.f123movies.com/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://popcorntime.co/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://www5.himovies.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='www5.himovies.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='www5.himovies.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://ww4.solarmovie.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='ww4.solarmovie.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='ww4.solarmovie.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://gogostream.co/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://www1.123moviesgo.ac/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='www1.123moviesgo.ac'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='www1.123moviesgo.ac'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://ww1.streamm4u.com/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='ww1.streamm4u.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='ww1.streamm4u.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
Raw_Data_illegal_streaming.csv,https://moviesjoy.to/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='moviesjoy.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='moviesjoy.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'False', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False']",IP Blocking
