File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,ISP DNS Response Contradiction Public DNS Response between results,Method
Raw_Data_piracy_torrent_sites.csv,https://yts.mx/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='yts.mx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='yts.mx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://www.1337x.tw/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='www.1337x.tw'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='www.1337x.tw'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://rarbg.tw/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://thepiratebay.org,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='thepiratebay.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='thepiratebay.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://torrentz2.nz/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://limetorrents.so/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://www.torlock.com/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='www.torlock.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['404'],"[""HTTPSConnectionPool(host='www.torlock.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['404'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://nyaa.si/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='nyaa.si'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['503'],"[""HTTPSConnectionPool(host='nyaa.si'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['503'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://eztv.pro/,FALSE,FALSE,TRUE,FALSE,200,['403'],['403'],['200'],['403'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
Raw_Data_piracy_torrent_sites.csv,https://yourbittorrent.com/,FALSE,FALSE,FALSE,TRUE,HTTPSConnectionPool(host='yourbittorrent.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),['200'],['403'],"[""HTTPSConnectionPool(host='yourbittorrent.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",['200'],['403'],"['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']",IP Blocking
