Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes
https://www.stockspot.com.au/,200,10.127.5.17,['54.79.22.194'; '54.79.28.199'],"[200, 200]","['10.10.254.61', '10.127.1.5', '138.44.5.105', '113.197.15.5', '52.95.219.52', '52.95.36.82', '137.111.189.12', '150.222.112.146', '54.79.28.199', '10.126.192.3', '54.79.28.199']",11,"['54.79.28.199', '54.79.22.194']",[],"['54.79.22.194', '54.79.28.199']","['54.79.22.194', '54.79.28.199']","[200, 200]",[],"[200, 200]","[200, 200]"
http://unblockproject.pw/,200,10.127.5.17,['37.48.65.152'],"[ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))]","['10.127.1.7', '113.197.15.143', '10.126.192.2', '10.10.254.61', '202.158.194.121', '64.125.193.129', '64.125.29.0', '64.125.30.27', '94.31.36.202', '81.17.34.17', '81.17.33.125', '37.48.65.152']",12,['37.48.65.152'],[],['192.157.56.139'],['207.244.67.138'],"[ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))]",[],"[ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))]","[ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))]"
https://animehd47.com/,200,10.127.5.17,['104.21.8.182'; '172.67.157.164'],"[403, ConnectionError(MaxRetryError(""HTTPConnectionPool(host='172.67.157.164', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002435C5A4EC8>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond'))""))]","['10.126.192.2', '10.10.254.61']",2,"['172.67.157.164', '104.21.8.182']",[],"['172.67.157.164', '104.21.8.182']","['172.67.157.164', '104.21.8.182']","[403, 403]",[],"[403, 403]","[403, 403]"
https://www.imovies.cc,200,10.127.5.17,['104.26.9.50'; '172.67.74.207'; '104.26.8.50'],"[403, 403, 403]","['10.126.192.2', '10.10.254.61', '10.127.1.7', '138.44.5.105', '113.197.15.143', '137.111.189.12', '104.26.8.50', '202.158.194.177', '198.32.176.171', '104.26.8.50']",10,"['172.67.74.207', '104.26.8.50', '104.26.9.50']",[],"['104.26.8.50', '172.67.74.207', '104.26.9.50']","['104.26.8.50', '172.67.74.207', '104.26.9.50']","[403, 403, 403]",[],"[403, 403, 403]","[403, 403, 403]"
https://lookmovie.ag/,200,10.127.5.17,['185.221.202.171'; '5.182.209.79'],"[403, 403]","['10.127.1.5', '138.44.5.105', '10.126.192.3', '137.111.189.12', '10.10.254.61', '202.158.194.177', '198.32.176.70', '5.254.109.43', '195.22.206.0', '195.22.206.26', '5.254.70.206', '5.254.70.202', '185.221.202.171', '5.254.73.97', '185.221.202.171']",15,"['185.221.202.171', '5.182.209.79']",[],"['185.221.202.171', '5.182.209.79']","['185.221.202.171', '5.182.209.79']","[403, 403]",[],"[403, 403]","[403, 403]"
"https://www.stockspot.com.au/","200","10.127.5.17","['54.79.22.194'; '54.79.28.199']","[200, 200]","['10.126.192.2', '10.10.254.61', '10.127.1.7', '113.197.15.109', '150.222.112.185', '54.79.22.194', '52.95.219.52', '54.79.22.194']","8","['54.79.22.194', '54.79.28.199']","[]","['54.79.22.194', '54.79.28.199']","['54.79.28.199', '54.79.22.194']","[200, 200]","[]","[200, 200]","[200, 200]"
"https://animehd47.com/","200","10.127.5.17","['172.67.157.164'; '104.21.8.182']","[403, 403]","['10.126.192.2', '10.10.254.61', '10.127.1.7', '113.197.15.143', '202.158.194.177', '198.32.176.171', '172.67.157.164']","7","['172.67.157.164', '104.21.8.182']","[]","['172.67.157.164', '104.21.8.182']","['172.67.157.164', '104.21.8.182']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://www.imovies.cc","200","10.127.5.17","['172.67.74.207'; '104.26.8.50'; '104.26.9.50']","[403, 403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.7', '113.197.15.143', '198.32.176.171', '172.67.74.207', '202.158.194.177', '172.67.74.207']","8","['104.26.9.50', '172.67.74.207', '104.26.8.50']","[]","['104.26.8.50', '104.26.9.50', '172.67.74.207']","['104.26.8.50', '172.67.74.207', '104.26.9.50']","[403, 403, 403]","[]","[403, 403, 403]","[403, 403, 403]"
"https://lookmovie.ag/","200","10.127.5.17","['5.182.209.79'; '185.221.202.171']","[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.7', '137.111.189.12', '138.44.5.105', '113.197.15.5', '113.197.15.101', '45.127.173.24', '184.104.194.146', '103.136.102.28', '184.104.194.137', '184.105.65.14', '184.105.81.110', '185.173.233.10', '5.182.209.79', '184.105.81.29', '5.182.209.79']","17","['5.182.209.79', '185.221.202.171']","[]","['185.221.202.171', '5.182.209.79']","['5.182.209.79', '185.221.202.171']","[403, 403]","[]","[403, 403]","[403, 403]"
"http://unblockproject.pw/","200","10.127.5.17","['5.79.68.108']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.126.192.2', '10.127.1.5', '10.10.254.61', '137.111.189.12', '138.44.5.105', '113.197.15.143', '202.158.194.121', '64.125.193.129', '64.125.29.0', '64.125.29.119', '64.125.30.27', '94.31.36.202', '81.17.34.21', '81.17.33.131', '5.79.68.108']","15","['5.79.68.108']","[]","['5.79.68.108']","['5.79.68.108']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]"
