Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
https://www.imovies.cc,HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.80', '203.50.11.95', '139.130.34.250', '203.50.61.81', '61.9.173.4', '101.167.166.53']",8,[],[],"['104.21.2.164', '172.67.129.100']","['104.21.2.164', '172.67.129.100']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.stockspot.com.au/,200,10.18.0.1,"['13.237.228.190', '3.24.243.206', '54.66.209.236']","[200, 200, 200]","['10.0.0.138', '203.50.61.65', '203.50.61.64', '58.162.26.77', '203.50.11.177', '15.230.210.58', '15.230.210.55', '15.230.210.198', '15.230.211.52', '13.237.228.190']",10,[],[],"['13.237.228.190', '54.66.209.236', '3.24.243.206']","['3.24.243.206', '13.237.228.190', '54.66.209.236']",[],[],"[200, 200, 200]","[200, 200, 200]",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
https://www.imovies.cc,HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.11.95', '203.50.61.80', '58.162.26.77', '139.130.34.250', '61.9.173.4', '101.167.166.53']",8,[],[],"['104.21.2.164', '172.67.129.100']","['104.21.2.164', '172.67.129.100']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.imovies.cc,HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '58.162.26.77', '203.50.61.80', '203.50.11.95', '139.130.34.250', '61.9.173.4', '101.167.166.53']",8,[],[],"['104.21.2.164', '172.67.129.100']","['104.21.2.164', '172.67.129.100']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.stockspot.com.au/,200,10.18.0.1,"['3.24.243.206', '54.66.209.236', '13.237.228.190']","[200, 200, 200]","['10.0.0.138', '203.50.61.64', '58.162.26.77', '203.50.11.177', '203.50.61.65', '15.230.210.63', '15.230.210.158', '15.230.210.54', '54.66.209.236', '15.230.211.24', '54.66.209.236']",11,[],[],"['3.24.243.206', '54.66.209.236', '13.237.228.190']","['54.66.209.236', '13.237.228.190', '3.24.243.206']",[],[],"[200, 200, 200]","[200, 200, 200]",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
http://www.anime-sharing.com/,200,10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.61.64', '203.50.11.177', '139.130.6.102', '61.9.172.4', '101.167.164.53']",8,[],[],"['172.67.195.13', '104.21.49.218']","['104.21.49.218', '172.67.195.13']",[],[],"[403, 403]","[403, 403]",FALSE,[],[],"['False', 'False']","['False', 'False']",FALSE,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.imovies.cc,HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '58.162.26.77', '203.50.61.80', '203.50.11.95', '139.130.34.250', '61.9.173.4', '101.167.166.53']",8,[],[],"['104.21.2.164', '172.67.129.100']","['172.67.129.100', '104.21.2.164']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.imovies.cc,HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '139.130.34.250', '203.50.11.95', '203.50.61.80', '61.9.173.4', '101.167.166.53', '203.50.61.81']",8,[],[],"['104.21.2.164', '172.67.129.100']","['172.67.129.100', '104.21.2.164']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.stockspot.com.au/,200,10.18.0.1,"['3.24.243.206', '13.237.228.190', '54.66.209.236']","[200, 200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.61.64', '203.50.11.177', '15.230.210.63', '15.230.210.54', '15.230.210.158', '15.230.211.24', '54.66.209.236']",10,[],[],"['3.24.243.206', '13.237.228.190', '54.66.209.236']","['3.24.243.206', '13.237.228.190', '54.66.209.236']",[],[],"[200, 200, 200]","[200, 200, 200]",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
http://www.anime-sharing.com/,200,10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.81', '139.130.34.250', '203.50.11.95', '203.50.61.80', '61.9.173.4', '101.167.166.53']",8,[],[],"['104.21.49.218', '172.67.195.13']","['104.21.49.218', '172.67.195.13']",[],[],"[403, 403]","[403, 403]",FALSE,[],[],"['False', 'False']","['False', 'False']",FALSE,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.stockspot.com.au/,200,10.18.0.1,"['13.237.228.190', '3.24.243.206', '54.66.209.236']","[200, 200, 200]","['10.0.0.138', '203.50.61.65', '203.50.61.64', '203.50.11.177', '58.162.26.77', '15.230.210.63', '15.230.210.54', '15.230.210.158', '15.230.211.24', '54.66.209.236']",10,[],[],"['54.66.209.236', '13.237.228.190', '3.24.243.206']","['54.66.209.236', '3.24.243.206', '13.237.228.190']",[],[],"[200, 200, 200]","[200, 200, 200]",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']",FALSE,[],[],"['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']","['False', 'False', 'False']"
http://www.anime-sharing.com/,200,10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.65', '203.50.61.64', '58.162.26.77', '203.50.11.177', '61.9.172.4', '139.130.6.102', '101.167.164.53']",8,[],[],"['172.67.195.13', '104.21.49.218']","['172.67.195.13', '104.21.49.218']",[],[],"[403, 403]","[403, 403]",FALSE,[],[],"['False', 'False']","['False', 'False']",FALSE,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://www.imovies.cc,HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.64', '203.50.61.65', '101.167.164.53', '139.130.6.102', '61.9.172.4', '203.50.11.177']",8,[],[],"['104.21.2.164', '172.67.129.100']","['172.67.129.100', '104.21.2.164']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
http://animereborn.io/,200,10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '139.130.34.250', '203.50.61.80', '203.50.11.95', '61.9.173.4', '203.50.61.81', '101.167.166.53']",8,[],[],['3.64.163.50'],['3.64.163.50'],[],[],"[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]","[""('Connection aborted.'; RemoteDisconnected('Remote end closed connection without response'))""]",FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
http://unblockproject.pw/,200,10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.61.80', '139.130.34.250', '58.162.26.77', '203.50.11.95', '61.9.173.4', '101.167.166.53']",8,[],[],['37.48.65.136'],['23.82.12.35'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://animelon.com/,HTTPSConnectionPool(host='animelon.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.11.95', '139.130.34.250', '203.50.61.80', '61.9.173.4', '101.167.166.53']",8,[],[],"['104.21.78.122', '172.67.220.248']","['172.67.220.248', '104.21.78.122']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
https://getpopcorntime.is/,HTTPSConnectionPool(host='getpopcorntime.is'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]",[],0,[],[],['216.120.147.200'],['216.120.147.200'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://animehd47.com/,HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '139.130.34.250', '203.50.11.95', '203.50.61.80', '61.9.173.4', '101.167.166.53', '58.162.26.77']",8,[],[],"['3.18.7.81', '3.19.116.195']","['52.71.57.184', '54.209.32.212']",[],[],"[404, 404]","[404, 404]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['False', 'False']","['False', 'False']","['False', 'False']","['False', 'False']"
https://lookmovie.ag/,HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '139.130.6.102', '61.9.172.4', '203.50.61.64', '203.50.11.177', '101.167.164.53', '203.50.61.65']",8,[],[],['45.134.173.163'],['45.134.173.163'],[],[],"[""HTTPSConnectionPool(host='articles.lookmovie2.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","[""HTTPSConnectionPool(host='articles.lookmovie2.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]",N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://katcr.to/,HTTPSConnectionPool(host='katcr.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.61.64', '61.9.172.4', '139.130.6.102', '203.50.11.177', '101.167.164.53']",8,[],[],"['104.21.38.228', '172.67.140.62']","['172.67.140.62', '104.21.38.228']",[],[],"[403, 403]","[403, 403]",N/A,[],[],"['False', 'False']","['False', 'False']",N/A,[],[],"['True', 'True']","['True', 'True']","['False', 'False']","['False', 'False']"
