File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,ISP DNS Response Contradiction Public DNS Response between results,Method
"ISP_Test.csv","https://yts.mx/","False","False","False","True","HTTPSConnectionPool(host='yts.mx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['403']","[""HTTPSConnectionPool(host='yts.mx'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://www.1337x.tw/","False","False","False","True","HTTPSConnectionPool(host='www.1337x.tw'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['403']","[""HTTPSConnectionPool(host='www.1337x.tw'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://rarbg.tw/","False","False","True","False","200","['403']","['403']","['200']","['403']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://thepiratebay.org","False","False","False","True","HTTPSConnectionPool(host='thepiratebay.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['403']","[""HTTPSConnectionPool(host='thepiratebay.org'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://torrentz2.nz/","False","False","True","False","200","['403']","['403']","['200']","['403']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://limetorrents.so/","False","False","True","False","200","['403']","['403']","['200']","['403']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://www.torlock.com/","False","False","False","True","HTTPSConnectionPool(host='www.torlock.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['404']","[""HTTPSConnectionPool(host='www.torlock.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['404']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://nyaa.si/","False","False","False","True","HTTPSConnectionPool(host='nyaa.si'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['503']","[""HTTPSConnectionPool(host='nyaa.si'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['503']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://eztv.pro/","False","False","True","False","200","['403']","['403']","['200']","['403']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://yourbittorrent.com/","False","False","False","True","HTTPSConnectionPool(host='yourbittorrent.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['403']","[""HTTPSConnectionPool(host='yourbittorrent.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://iptorrents.com/","False","False","False","True","HTTPSConnectionPool(host='iptorrents.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))","['200']","['403']","[""HTTPSConnectionPool(host='iptorrents.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)')))""]","['200']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
"ISP_Test.csv","https://isohunt.app/","False","False","True","False","403","['403']","['403']","['403']","['403']","['403']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","Domain Not Live"
"ISP_Test.csv","http://libgen.is/","False","False","True","False","200","['200']","['200']","['200']","['200']","['200']","['Block N/A', 'Block N/A', 'False', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'Block N/A', 'False', 'False', 'Block N/A', 'False', 'False', 'False', 'False']","IP Blocking"
